Peer,RTT
31-2_RIV497161297,"[0.063278, 0.07862899999999999, 0.07862899999999999, 0.06790199999999999, 0.06790199999999999, 0.068115, 0.064911, 0.069092, 0.058227999999999995, 0.061461999999999996, 0.06668099999999999, 0.057616999999999995, 0.073761, 0.064285, 0.061995999999999996, 0.056976, 0.058013999999999996, 0.069962, 0.078003, 0.062056999999999994, 0.061035, 0.061035, 0.058471999999999996, 0.06601, 0.06601, 0.061217999999999995, 0.0625, 0.059524999999999995, 0.077209, 0.066422, 0.064728, 0.06514, 0.062592, 0.06897, 0.060225999999999995, 0.060225999999999995, 0.09164399999999999, 0.060654, 0.068359, 0.057907, 0.056366, 0.074219, 0.060501, 0.069412, 0.069412, 0.068817, 0.072617, 0.062469, 0.058471999999999996, 0.09838899999999999, 0.07067899999999999, 0.061249, 0.076019, 0.07457, 0.07457, 0.08891299999999999, 0.084549, 0.084549, 0.066589, 0.070145, 0.066422, 0.058182, 0.072006, 0.061172, 0.061172, 0.064499, 0.080429, 0.063446, 0.05864, 0.086655, 0.060454999999999995, 0.075165, 0.06337, 0.066101, 0.065582, 0.06781, 0.067047, 0.067047, 0.07135, 0.057739, 0.074127, 0.059494, 0.081787, 0.081787, 0.060058999999999994, 0.07843, 0.07019, 0.062897, 0.062377999999999996, 0.068878, 0.057587, 0.057816, 0.06990099999999999, 0.057571, 0.06440699999999999, 0.061065999999999995, 0.06271399999999999, 0.06271399999999999, 0.07406599999999999, 0.07344099999999999, 0.068558, 0.061234, 0.072708, 0.072708, 0.064346, 0.09457399999999999, 0.074539, 0.08725, 0.08586099999999999, 0.07743799999999999, 0.07743799999999999, 0.058547999999999996, 0.093094, 0.149033, 0.149033, 0.07896399999999999, 0.078354, 0.07191499999999999, 0.060683999999999995, 0.060683999999999995, 0.069733, 0.069733, 0.064682, 0.085754, 0.065887, 0.059539999999999996, 0.07782, 0.11460899999999999, 0.09487899999999999, 0.07788099999999999, 0.10997, 0.107346, 0.107346, 0.068054, 0.08548, 0.06723, 0.06723, 0.069626, 0.069626, 0.06591799999999999, 0.073318, 0.07437099999999999, 0.082703, 0.065079, 0.075165, 0.06955, 0.059891, 0.059891, 0.082413, 0.082413, 0.096985, 0.076935, 0.068161, 0.076981, 0.09535199999999999, 0.076767, 0.065659, 0.070419, 0.070419, 0.07972699999999999, 0.06883199999999999, 0.07527199999999999, 0.055389, 0.07235699999999999, 0.080109, 0.07051099999999999, 0.061005, 0.061005, 0.09350599999999999, 0.073502, 0.073502, 0.062241, 0.075241, 0.080597, 0.06608599999999999, 0.068512, 0.068512, 0.070709, 0.076385, 0.065887, 0.064148, 0.06959499999999999, 0.07788099999999999, 0.063553, 0.07820099999999999, 0.085037, 0.0681]"
31-2_RIA707741705,"[0, 0, 0, 0, 0, 0, 0, 0.06747399999999999, 0.06747399999999999, 0.06747399999999999, 0.06747399999999999, 0.06747399999999999, 0.060851999999999996, 0.060851999999999996, 0.060851999999999996, 0.060851999999999996, 0.060851999999999996, 0.060851999999999996, 0.055633999999999996, 0.055633999999999996, 0.055633999999999996, 0.055633999999999996, 0.055633999999999996, 0.069183, 0.069183, 0.069183, 0.069183, 0.069183, 0.057343, 0.057343, 0.057343, 0.067093, 0.067093, 0.067093, 0.067093, 0.067093, 0.067093, 0.059524999999999995, 0.059524999999999995, 0.059524999999999995, 0.059524999999999995, 0.059524999999999995, 0.059524999999999995, 0.06601, 0.06601, 0.06601, 0.06601, 0.06601, 0.056305, 0.056305, 0.056305, 0.056305, 0.056961, 0.056961, 0.056961, 0.056961, 0.056961, 0.056961, 0.056961, 0.056961, 0.08033799999999999, 0.08033799999999999, 0.086884, 0.086884, 0.086884, 0.086884, 0.086884, 0.08416699999999999, 0.08416699999999999, 0.08416699999999999, 0.08416699999999999, 0.08416699999999999, 0.08416699999999999, 0.08416699999999999, 0.0681, 0.0681, 0.0681, 0.0681, 0.0681, 0.06459, 0.06459, 0.06459, 0.06459, 0.074554, 0.074554, 0.074554, 0.074554, 0.074554, 0.074219, 0.074219, 0.074219, 0.074219, 0.074219, 0.074219, 0.074219, 0.061249, 0.061249, 0.061249, 0.061249, 0.08308399999999999, 0.08308399999999999, 0.08308399999999999, 0.08308399999999999, 0.08308399999999999, 0.08308399999999999, 0.08308399999999999, 0.068359, 0.068359, 0.068359, 0.068359, 0.068359, 0.068359, 0.068359, 0.07843, 0.07843, 0.07843, 0.07843, 0.07843, 0.086014, 0.086014, 0.086014, 0.086014, 0.086014, 0.086014, 0.08586099999999999, 0.08586099999999999, 0.08586099999999999, 0.08586099999999999, 0.08586099999999999, 0.08586099999999999, 0.07360799999999999, 0.07360799999999999, 0.07360799999999999, 0.101547, 0.101547, 0.101547, 0.101547, 0.101547, 0.063889, 0.063889, 0.063889, 0.063889, 0.063889, 0.063889, 0.063889, 0.06410199999999999, 0.06410199999999999, 0.06410199999999999, 0.058394999999999996, 0.058394999999999996, 0.058394999999999996, 0.109329, 0.109329, 0.109329, 0.109329, 0.109329, 0.109329, 0.109329, 0.077545, 0.077545, 0.077545, 0.077545, 0.077545, 0.082245, 0.082245, 0.082245, 0.076538, 0.076538, 0.076538, 0.076538, 0.08354199999999999, 0.08354199999999999, 0.08354199999999999, 0.07160899999999999, 0.07160899999999999, 0.07160899999999999, 0.07160899999999999, 0.07281499999999999, 0.07281499999999999, 0.07281499999999999, 0.07281499999999999, 0.07281499999999999, 0.088013, 0.088013, 0.088013, 0.088013, 0.08612099999999999]"
31-3_RIA2912356012,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0015409999999999998, 0.0015409999999999998, 0.0015409999999999998, 0.0015409999999999998, 0.001526, 0.001526, 0.001526, 0.001526, 0.001526, 0.0014039999999999999, 0.0014039999999999999, 0.0014039999999999999, 0.0014039999999999999, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001511, 0.001511, 0.001511, 0.001511, 0.001511, 0.001511, 0.001511, 0.001511, 0.001, 0.001, 0.001, 0.001, 0.0013579999999999998, 0.0013579999999999998, 0.0013579999999999998, 0.0013579999999999998, 0.0013579999999999998, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001053, 0.001053, 0.001053, 0.001053, 0.001053, 0.001053, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.00209, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001114, 0.001114, 0.001114, 0.001114, 0.001114, 0.001114, 0.001114, 0.001114, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001617, 0.001617, 0.001617, 0.001617, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001419, 0.001419, 0.001419, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001389, 0.001389, 0.001389, 0.001389, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
31-3_RIV3324267001,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001236, 0.001343, 0.001, 0.001297, 0.0011899999999999999, 0.0019529999999999999, 0.001282, 0.001, 0.001205, 0.001, 0.001, 0.001434, 0.001633, 0.001099, 0.001, 0.001, 0.001, 0.001282, 0.001282, 0.001, 0.001236, 0.001343, 0.001343, 0.001, 0.0014039999999999999, 0.001816, 0.001816, 0.001, 0.001, 0.001, 0.001419, 0.001022, 0.001, 0.001053, 0.001266, 0.001266, 0.001602, 0.001, 0.001114, 0.001, 0.00174, 0.001389, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001099, 0.001, 0.0013579999999999998, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001831, 0.0014039999999999999, 0.001, 0.0011899999999999999, 0.0011899999999999999, 0.001068, 0.001068, 0.001, 0.001, 0.0010069999999999999, 0.001, 0.001, 0.001282, 0.001999, 0.0014039999999999999, 0.0014039999999999999, 0.00116, 0.002838, 0.002838, 0.001, 0.0015719999999999998, 0.0015409999999999998, 0.001, 0.001, 0.001297, 0.0011899999999999999, 0.001236, 0.001, 0.001099, 0.001, 0.001, 0.001, 0.001633, 0.001175, 0.001, 0.001251, 0.001251, 0.001, 0.001, 0.001175, 0.0015869999999999999, 0.0015869999999999999, 0.00116, 0.00116, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001419, 0.001, 0.001, 0.001, 0.00145, 0.001, 0.001099, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0012209999999999999, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001022, 0.001022]"
32-2_RIV401308156,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.060043, 0.060043, 0.059708, 0.063568, 0.059189, 0.06639099999999999, 0.11737099999999999, 0.061111, 0.064728, 0.064728, 0.068359, 0.073166, 0.072632, 0.081299, 0.059768999999999996, 0.063538, 0.06884799999999999, 0.06884799999999999, 0.068481, 0.064133, 0.061675999999999995, 0.05806, 0.076706, 0.07788099999999999, 0.071625, 0.066772, 0.066772, 0.063599, 0.06300399999999999, 0.061156999999999996, 0.058517, 0.068863, 0.074585, 0.074585, 0.083038, 0.06636, 0.079788, 0.08598299999999999, 0.07962, 0.07962, 0.063858, 0.113678, 0.066422, 0.066422, 0.076767, 0.08889799999999999, 0.06813, 0.08491499999999999, 0.08247399999999999, 0.078857, 0.078857, 0.069885, 0.085007, 0.085007, 0.074783, 0.06684899999999999, 0.079987, 0.091293, 0.11752299999999999, 0.102188, 0.113815, 0.244141, 0.084412, 0.070267, 0.08981299999999999, 0.060058999999999994, 0.090607, 0.108536, 0.108536, 0.081818, 0.061432, 0.077301, 0.081818, 0.067841, 0.099365, 0.072235, 0.07128899999999999, 0.07128899999999999, 0.08215299999999999, 0.06762699999999999, 0.069473, 0.077942, 0.076309, 0.07940699999999999, 0.086182, 0.07045, 0.06591799999999999, 0.074585, 0.074585, 0.076843, 0.07221999999999999, 0.06730699999999999, 0.066574, 0.057419, 0.073715, 0.07344099999999999, 0.06608599999999999, 0.09314, 0.07940699999999999, 0.063889, 0.066055, 0.061554, 0.061141999999999995, 0.08662399999999999, 0.08662399999999999, 0.07282999999999999, 0.06547499999999999, 0.0867, 0.11460899999999999, 0.070313, 0.070313, 0.09028599999999999, 0.072006, 0.12184099999999999, 0.064362, 0.065811, 0.065811, 0.080673, 0.06776399999999999, 0.06776399999999999, 0.086792, 0.09111, 0.09703099999999999, 0.116974, 0.070724, 0.070724, 0.072891]"
32-2_RIA3829393790,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07405099999999999, 0.07405099999999999, 0.07405099999999999, 0.07405099999999999, 0.07405099999999999, 0.067215, 0.067215, 0.067215, 0.067215, 0.067215, 0.067215, 0.067215, 0.079758, 0.079758, 0.079758, 0.079758, 0.079758, 0.079758, 0.079758, 0.060516, 0.060516, 0.060516, 0.060516, 0.060516, 0.060516, 0.060516, 0.07096899999999999, 0.07096899999999999, 0.07096899999999999, 0.07096899999999999, 0.07096899999999999, 0.087646, 0.087646, 0.087646, 0.087646, 0.087646, 0.087646, 0.087646, 0.06393399999999999, 0.06393399999999999, 0.06393399999999999, 0.06393399999999999, 0.06393399999999999, 0.06393399999999999, 0.06393399999999999, 0.070496, 0.070496, 0.070496, 0.070496, 0.09425399999999999, 0.09425399999999999, 0.09425399999999999, 0.09425399999999999, 0.09425399999999999, 0.069336, 0.069336, 0.069336, 0.08460999999999999, 0.08460999999999999, 0.08460999999999999, 0.08460999999999999, 0.07679699999999999, 0.07679699999999999, 0.07679699999999999, 0.07679699999999999, 0.076233, 0.076233, 0.076233, 0.06455999999999999, 0.06455999999999999, 0.06455999999999999, 0.06455999999999999, 0.06455999999999999, 0.06455999999999999, 0.066956, 0.066956, 0.066956, 0.066956, 0.08827199999999999, 0.08827199999999999, 0.08827199999999999, 0.08827199999999999, 0.08827199999999999, 0.07098399999999999, 0.07098399999999999, 0.07098399999999999, 0.07098399999999999, 0.062164, 0.062164, 0.062164, 0.062164, 0.062164, 0.073669, 0.073669, 0.073669, 0.073669, 0.073669, 0.08737199999999999, 0.08737199999999999, 0.08737199999999999, 0.08737199999999999, 0.08737199999999999, 0.08737199999999999, 0.08737199999999999, 0.072617, 0.072617, 0.072617, 0.075043, 0.075043, 0.075043, 0.075043, 0.075043, 0.066635, 0.066635, 0.066635, 0.066635, 0.066635, 0.066635, 0.066635, 0.071243, 0.071243, 0.071243, 0.071243, 0.060454999999999995, 0.060454999999999995]"
32-3_RIA2277948057,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001297, 0.001297, 0.001297, 0.001297, 0.001297, 0.001297, 0.001297, 0.001297, 0.001297, 0.001, 0.001, 0.001, 0.001, 0.001389, 0.001389, 0.001389, 0.001389, 0.001389, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0011899999999999999, 0.0011899999999999999, 0.0011899999999999999, 0.0011899999999999999, 0.0011899999999999999, 0.001236, 0.001236, 0.001236, 0.001236, 0.001236, 0.001236, 0.001236, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001236, 0.001236, 0.001099, 0.001099, 0.001099, 0.001099, 0.001099, 0.001099, 0.001099, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0013579999999999998, 0.0013579999999999998, 0.001236, 0.001236, 0.001236, 0.001236, 0.001236, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0015719999999999998, 0.0015719999999999998, 0.0015719999999999998, 0.001053, 0.001053, 0.001053, 0.001129, 0.001129, 0.001129, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001068, 0.001068, 0.001068, 0.001068, 0.001068, 0.001068]"
32-3_RIV1059667434,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001266, 0.001068, 0.001068, 0.001, 0.001, 0.001, 0.001, 0.001419, 0.0015869999999999999, 0.001, 0.001, 0.001236, 0.001129, 0.001, 0.001282, 0.001, 0.001022, 0.001022, 0.001, 0.001, 0.0010069999999999999, 0.0010069999999999999, 0.001, 0.001, 0.001, 0.0015409999999999998, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0012209999999999999, 0.001, 0.0014039999999999999, 0.001709, 0.001709, 0.0013729999999999999, 0.0017549999999999998, 0.0017549999999999998, 0.001434, 0.001053, 0.001, 0.001, 0.001, 0.001, 0.001495, 0.001, 0.001, 0.001, 0.001251, 0.001312, 0.001205, 0.001, 0.001, 0.001, 0.001144, 0.001083, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001297, 0.001, 0.001, 0.001, 0.001648, 0.001648, 0.001495, 0.001, 0.001, 0.001328, 0.001312, 0.001083, 0.001083, 0.001099, 0.001251, 0.001, 0.001175, 0.001, 0.001266, 0.001343, 0.001266, 0.00209, 0.00145, 0.001, 0.001, 0.001083, 0.001, 0.001, 0.001, 0.001343, 0.001343, 0.001, 0.001495, 0.001175, 0.001, 0.001663, 0.001, 0.001, 0.001, 0.001, 0.001068, 0.001511, 0.00148, 0.001266, 0.001, 0.001099, 0.001, 0.001, 0.001, 0.001205, 0.0010069999999999999, 0.001, 0.001, 0.001, 0.001, 0.001343, 0.001, 0.001, 0.001175, 0.001083, 0.001, 0.001, 0.001, 0.001022]"
31-4_RIV3334206692,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.096024, 0.079178, 0.071075, 0.075241, 0.08125299999999999, 0.130371, 0.103394, 0.103394, 0.06974799999999999, 0.083771, 0.09684799999999999, 0.093155, 0.103699, 0.086502, 0.086502, 0.07908599999999999, 0.071381, 0.076065, 0.066833, 0.064072, 0.058455999999999994, 0.075363, 0.064148, 0.073776, 0.08277899999999999, 0.067886, 0.071793, 0.071793, 0.065445, 0.109329, 0.069321, 0.07662999999999999, 0.068115, 0.096512, 0.072113, 0.061661, 0.061661, 0.060577, 0.060577, 0.081497, 0.078583, 0.065536, 0.062622, 0.100632, 0.07157899999999999, 0.07157899999999999, 0.06791699999999999, 0.064606, 0.072723, 0.072235, 0.060821999999999994, 0.07189899999999999, 0.07189899999999999, 0.091156, 0.07711799999999999, 0.072433, 0.072433, 0.107071, 0.065689, 0.101715, 0.101715, 0.081161, 0.08367899999999999, 0.06987, 0.06572, 0.067719, 0.068115, 0.056853999999999995, 0.061279, 0.06300399999999999]"
31-4_RIA3760632875,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11082499999999999, 0.11082499999999999, 0.11082499999999999, 0.11082499999999999, 0.11082499999999999, 0.06976299999999999, 0.06976299999999999, 0.06976299999999999, 0.08076499999999999, 0.08076499999999999, 0.08076499999999999, 0.08076499999999999, 0.08076499999999999, 0.08076499999999999, 0.08076499999999999, 0.061005, 0.061005, 0.061005, 0.061005, 0.061005, 0.061005, 0.061005, 0.08245799999999999, 0.08245799999999999, 0.08245799999999999, 0.08245799999999999, 0.08245799999999999, 0.09869399999999999, 0.09869399999999999, 0.09869399999999999, 0.08001699999999999, 0.08001699999999999, 0.08001699999999999, 0.08001699999999999, 0.08001699999999999, 0.06791699999999999, 0.06791699999999999, 0.06791699999999999, 0.06791699999999999, 0.06791699999999999, 0.06791699999999999, 0.055222, 0.055222, 0.055222, 0.055222, 0.059295999999999995, 0.059295999999999995, 0.059295999999999995, 0.059295999999999995, 0.059295999999999995, 0.085968, 0.085968, 0.085968, 0.085968, 0.085968, 0.085968, 0.099899, 0.099899, 0.099899, 0.099899, 0.099899, 0.086075, 0.086075, 0.086075, 0.086075, 0.086075, 0.06562799999999999, 0.06562799999999999, 0.06562799999999999]"
